Name,Date of First Email Sent,Day of First Email Sent,Date of First Received Email,Date of Last Interaction,Current Stage,Previous Stage,Stages (Grouped),Response,State,Region,Tuition,Role,Grade,Financial Aid %,Sent Email Count,Received Email Count,Date Created,Outreach Type,Last Email From,# of families that we connected',Calls,Newsletter?
Kessler School,2024/04/08 11:41 PM,Monday,,2024/07/05 10:22 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,15 - 20K,Head of School,,,7,0,2024/04/06 7:16 AM,,precious@efcoachtutors.com,,,
Keswick Christian School,2024/02/24 11:08 PM,Saturday,,2024/07/06 11:20 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,10 - 15K,Superintendent,,,11,0,2024/02/22 12:26 PM,,precious@efcoachtutors.com,,,Sent
Key School,2024/04/08 11:12 PM,Monday,2024/05/07 10:48 PM,2024/07/05 10:19 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,30 - 35K,"School Counselor: Middle School, Upper School",,33,11,3,2024/04/06 7:16 AM,,akullman@keyschool.org,,,
Khan Lab School,2024/05/06 11:41 PM,Monday,,2024/06/28 9:58 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,35 - 40K,Academic Director,,2,11,0,2024/05/06 4:53 AM,,precious@efcoachtutors.com,,,
King School,2023/11/07 12:05 AM,Tuesday,,2024/07/03 8:19 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CT,Northeast,50 - 55K,Upper School Counselor,,,14,0,2023/11/03 11:56 AM,,precious@efcoachtutors.com,,,Sent
King's Academy,2024/05/06 11:31 PM,Monday,2024/06/29 12:53 AM,2024/07/06 11:19 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,25 - 30K,8th Grade Academic Counselor,,18,11,2,2024/05/06 4:53 AM,,kathie.montgomery@tka.org,,,
King's Christian School,2024/04/15 11:43 PM,Monday,2024/07/06 1:23 AM,2024/07/05 10:23 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NJ,Northeast,10 - 15K,School Counselor,,40,7,1,2024/04/13 5:02 AM,,jthomas@tkcs.org,,,
King's Schools,2024/04/08 11:40 PM,Monday,,2024/07/05 10:19 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WA,West,20 - 25K,Academic Counselor,,25,12,0,2024/04/06 7:16 AM,,precious@efcoachtutors.com,,,
Kings Way Christian Schools,2024/04/08 11:33 PM,Monday,2024/06/15 12:45 AM,2024/07/05 10:20 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WA,West,10 - 15K,Learning Center Asst. Principal,,20,12,2,2024/04/06 7:16 AM,,desireebarsegian@kwcs.org,,,
Kinneret Day School,2024/03/08 11:43 PM,Friday,,2024/07/04 9:18 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NY,Northeast,15 - 20K,Principal,,,9,0,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
Kirby Hall School,2024/03/29 10:01 PM,Friday,2024/03/29 10:01 PM,2024/06/29 12:53 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported, Blocked","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,TX,South,15 - 20K,School Counselor,,11,9,1,2024/03/29 6:09 AM,,precious@efcoachtutors.com,,,Sent
Knox School,2024/03/02 11:31 PM,Saturday,,2024/07/06 11:23 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NY,Northeast,25 - 30K,Dean of Academics,,"35, 60k",9,0,2024/02/29 12:23 PM,,precious@efcoachtutors.com,,,Sent
Kohelet Yeshiva High School,,Saturday,,,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,PA,Northeast,25 - 30K,Director of Learning Center,,,0,0,2024/01/09 5:24 AM,,,,,Sent
La Salle College High School,2024/01/10 12:14 AM,Wednesday,,2024/07/03 8:19 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,PA,Northeast,20 - 25K,Learning Specialist,,34%,10,0,2024/01/09 5:24 AM,,precious@efcoachtutors.com,,,Sent
La Salle Institute,2024/03/08 11:34 PM,Friday,,2024/07/04 9:19 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NY,Northeast,15 - 20K,Vice Principal for Academics & Middle School,,,10,0,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
Lacordaire Academy,2024/04/15 11:13 PM,Monday,,2024/07/05 10:18 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NJ,Northeast,15 - 20K,Dean of Students,,,7,0,2024/04/20 6:38 AM,,precious@efcoachtutors.com,,,
Laguna Blanca School,2023/11/02 1:05 AM,Thursday,,2024/07/03 8:25 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,25 - 30K,School Counselor,,,12,0,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,Sent
Lake Country Christian School,2024/03/29 11:05 PM,Friday,,2024/06/29 12:57 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,15 - 20K,Dean of Students,,,8,0,2024/03/29 6:09 AM,,precious@efcoachtutors.com,,,Sent
Lake Forest Academy,2023/11/02 1:05 AM,Thursday,,2024/07/03 8:23 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,IL,Midwest,50 - 55K,Learning Resources Specialist,,,15,0,2023/11/01 9:36 AM,,precious@efcoachtutors.com,,,Sent
Lake Highland Preparatory School,2024/01/30 12:29 AM,Tuesday,,2024/06/29 12:56 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,25 - 30K,Upper School Edison Learning Specialist,,,17,0,2024/01/26 3:16 PM,,precious@efcoachtutors.com,,,Sent
Lake Mary Preparatory School,2024/02/24 11:03 PM,Saturday,2024/02/24 11:03 PM,2024/07/04 9:24 AM,Received Summer Drip,"Blocked, Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,FL,South,15 - 20K,Learning Specialist,,32,10,1,2024/02/22 12:26 PM,,precious@efcoachtutors.com,,,
Lake Tahoe Preparatory School,2023/11/02 1:05 AM,Thursday,2023/11/02 1:05 AM,2024/07/03 8:23 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,30 - 35K,Learning Specialist,,,13,1,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,Sent
Lake Worth Christian School,2024/02/24 11:04 PM,Saturday,2024/07/07 2:29 AM,2024/07/06 11:29 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,10 - 15K,Superintendent| Secondary Principal,,,9,1,2024/02/22 12:26 PM,,dbowlin@lwcs.org,,,Sent
Lakehill Preparatory School,2024/03/23 1:05 AM,Saturday,,2024/07/05 10:27 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,25 - 30K,Learning Specialist,,15,8,0,2024/03/22 6:33 AM,,precious@efcoachtutors.com,,,Sent
Lakeland Christian School,2024/02/19 11:38 PM,Monday,,2024/06/29 12:55 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,10 - 15K,Head of School,,22,13,0,2024/02/15 1:55 PM,,precious@efcoachtutors.com,,,Sent
Latin School of Chicago,2023/11/07 12:10 AM,Tuesday,2023/11/07 5:36 AM,2024/06/29 1:03 PM,Received Summer Drip,"Blocked, Received Summer Drip, Sent Intro MM, Imported, Shared/will share our info with families, Engaged","New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services, Blocked/Unsubscribe",No response yet,IL,Midwest,30 - 35K,Middle and Upper School Counselor,,,16,5,2023/11/03 11:56 AM,,precious@efcoachtutors.com,,,
Laurel School,2024/01/10 12:14 AM,Wednesday,,2024/07/06 11:22 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,OH,Midwest,30 - 35K,Learning Support,,40%,15,0,2024/01/09 5:24 AM,,precious@efcoachtutors.com,,,Sent
Lawrence Woodmere Academy,2024/03/02 11:33 PM,Saturday,,2024/07/04 9:18 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NY,Northeast,30 - 35K,Learning Specialist,,,10,0,2024/02/29 12:23 PM,,precious@efcoachtutors.com,,,Sent
Legacy Christian Academy,2024/03/29 10:09 PM,Friday,2024/06/09 1:49 AM,2024/06/29 12:54 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MN,Midwest,10 - 15K,School Counselor,,45,13,3,2024/03/29 6:09 AM,,akey@lcamn.org,,,Sent
Lexington Christian Academy,2024/03/08 11:42 PM,Friday,2024/03/08 11:43 PM,2024/06/29 12:52 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported, Blocked","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,MA,Northeast,30 - 35K,Academy Support Specialist,,47,9,1,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
Lexington Montessori School,2024/03/15 10:44 PM,Friday,,2024/07/04 9:19 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MA,Northeast,30 - 35K,School Counselor,,32,7,0,2024/03/14 1:45 PM,,precious@efcoachtutors.com,,,Sent
Liberty Christian School,2024/04/29 11:01 PM,Monday,2024/04/29 11:01 PM,2024/06/30 1:21 PM,Received Summer Drip,"Blocked, Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No response yet,MD,South,10 - 15K,School Counselor,,,13,1,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Life Christian Academy,2024/04/08 11:02 PM,Monday,2024/05/07 10:48 PM,2024/07/05 10:23 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WA,West,10 - 15K,Dean of Academic Guidance,,,7,1,2024/04/06 7:16 AM,,precious@efcoachtutors.com,,,
Lighthouse Christian School,2024/04/15 11:10 PM,Monday,,2024/07/05 10:18 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WA,West,10 - 15K,Director of Education,,,7,0,2024/04/13 5:02 AM,,precious@efcoachtutors.com,,,
LIH - Lycée International de Houston,2024/03/23 1:08 AM,Saturday,,2024/07/05 10:26 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,20 - 25K,Head of School,,,7,0,2024/03/22 6:33 AM,,precious@efcoachtutors.com,,,Sent
Logos School,2024/05/06 11:31 PM,Monday,,2024/06/28 10:00 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MO,Midwest,30 - 35K,Clinical Support Counselor,,,12,0,2024/05/06 4:53 AM,,precious@efcoachtutors.com,,,
Long Island Lutheran Middle & High School,2024/03/02 11:30 PM,Saturday,2024/06/29 12:49 AM,2024/07/06 11:22 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NY,Northeast,15 - 20K,Assistant Principal of Academics,,,11,2,2024/02/29 12:23 PM,,laura.callahan@luhi.org,,,Sent
Longview School,2024/03/08 11:57 PM,Friday,,2024/07/04 9:21 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NY,Northeast,20 - 25K,"Director, History",,,7,0,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
Loudonville Christian School,2024/03/08 11:50 PM,Friday,,2024/07/06 11:26 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NY,Northeast,10 - 15K,Head of School,,,13,0,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
Loyola High School of Los Angeles,2023/11/02 1:06 AM,Thursday,,2024/07/03 8:22 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,20 - 25K,Learning Specialist,,,17,0,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,Sent
Lucy School,2024/04/29 11:08 PM,Monday,,2024/06/30 1:24 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,10 - 15K,Counselor,,30,7,0,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Lutheran South Academy,2024/03/29 11:02 PM,Friday,2024/06/09 1:44 AM,2024/06/29 12:55 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,15 - 20K,High School Guidance Counselor,,,10,1,2024/03/29 6:09 AM,,precious@efcoachtutors.com,,,Sent
Lycée Français de Chicago,2023/11/07 12:06 AM,Tuesday,,2024/07/03 8:19 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,IL,Midwest,25 - 30K,Learning Specialist,,,17,0,2023/11/03 1:58 PM,,precious@efcoachtutors.com,,,Sent
Lyceum Kennedy French American School,2024/03/02 11:43 PM,Saturday,,2024/07/04 9:18 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NY,Northeast,35 - 40K,Academic Director for Middle School and High School & International Baccalaureate Diploma Programme (IBDP) Coordinator,,,10,0,2024/02/29 12:23 PM,,precious@efcoachtutors.com,,,Sent
Maayanot Yeshiva High School for Girls,2024/04/15 11:09 PM,Monday,,2024/07/05 10:25 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NJ,Northeast,20 - 25K,Dean of Students,,,7,0,2024/04/13 5:02 AM,,precious@efcoachtutors.com,,,
Madison Country Day School,2024/02/16 11:32 PM,Friday,,2024/07/06 11:22 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Engaged, Imported","New Contacts, Sent Mail Merges, Warm Leads",No response yet,WI,Midwest,20 - 25K,Interim Dean of Students,,35,9,0,2024/02/15 1:55 PM,,precious@efcoachtutors.com,,,Sent
Madrona School,2024/04/15 11:36 PM,Monday,2024/07/06 1:21 AM,2024/07/05 10:21 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WA,West,15 - 20K,Head of School,,,7,1,2024/04/13 5:02 AM,,hos@madronaschool.org,,,
Magellan International School,2024/04/08 11:44 PM,Monday,2024/04/08 11:44 PM,2024/07/05 10:19 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,20 - 25K,Head of School,,16,9,2,2024/04/06 7:16 AM,,scott.hibbard@magellanschool.org,,,
Maimonides School,2024/03/08 11:51 PM,Friday,,2024/07/04 9:18 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MA,Northeast,30 - 35K,Middle School Learning Center,,,9,0,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
Manlius Pebble Hill School,2024/03/02 11:34 PM,Saturday,,2024/07/06 11:19 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NY,Northeast,25 - 30K,Academic Support Specialist,,45,10,0,2024/02/29 12:23 PM,,precious@efcoachtutors.com,,,Sent
MAP St. Louis,2024/05/06 11:40 PM,Monday,,2024/07/06 11:20 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MO,Midwest,15 - 20K,"Head of School, HS Humanities Guide",,46,8,0,2024/05/06 4:53 AM,,precious@efcoachtutors.com,,,
Maple Street School,2024/03/23 1:11 AM,Saturday,,2024/07/05 10:19 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,VT,Northeast,20 - 25K,Learning Center Specialist,,,7,0,2024/03/22 6:33 AM,,precious@efcoachtutors.com,,,Sent
Maplewood Academy,2024/04/29 11:13 PM,Monday,,2024/07/06 11:29 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MN,Midwest,10 - 15K,Principal,,Boarding 19K,10,0,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Maranatha Christian Academy,2024/04/29 11:13 PM,Monday,,2024/07/06 11:25 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MN,Midwest,10 - 15K,Learning Support Services Coordinator,,,8,0,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Marburn Academy,2024/01/16 11:42 PM,Tuesday,,2024/07/03 8:19 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,OH,Midwest,30 - 35K,Head of High School,,45%,13,0,2024/01/15 4:09 PM,,precious@efcoachtutors.com,,,Sent
Marin Catholic,2024/01/31 12:29 AM,Wednesday,,2024/07/03 8:26 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,25 - 30K,Principal,,,9,0,2024/01/26 10:14 AM,,precious@efcoachtutors.com,,,Sent
Marine Military Academy,2024/03/29 11:00 PM,Friday,,2024/06/29 12:52 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,35 - 40K,College Guidance,,,15,0,2024/03/29 6:09 AM,,precious@efcoachtutors.com,,,Sent
Marquette University High School,2024/02/19 11:31 PM,Monday,,2024/07/06 11:22 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WI,Midwest,15 - 20K,Director of Academic Success Center,,45,12,0,2024/02/15 1:55 PM,,precious@efcoachtutors.com,,,Sent
Marvelwood,2023/11/14 11:38 PM,Tuesday,,2024/07/03 8:29 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CT,Northeast,35 - 40K,Learning Support,,,16,0,2023/11/13 11:00 PM,,precious@efcoachtutors.com,,,Sent
Maryvale Preparatory School,2024/04/22 11:10 PM,Monday,2024/06/09 7:23 PM,2024/06/30 1:13 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,20 - 25K,Director of School Counseling,,,11,2,2024/04/20 6:38 AM,,randisij@maryvale.com,,,
Master's Academy of Vero Beach,2024/02/16 11:32 PM,Friday,,2024/07/03 8:23 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,10 - 15K,Lower School Academic Dean,,30,7,0,2024/02/15 1:55 PM,,precious@efcoachtutors.com,,,Sent
Master's School,2024/03/15 10:49 PM,Friday,,2024/07/04 9:26 AM,Received Summer Drip,,"New Contacts, Sent Mail Merges",No response yet,CT,Northeast,20 - 25K,Counselor,,,9,0,2024/03/14 1:45 PM,,precious@efcoachtutors.com,,,Sent
Mater Dei School,2024/04/29 11:11 PM,Monday,,2024/06/30 1:21 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,15 - 20K,Head of School,,,9,0,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Maybeck High School,2024/05/06 11:34 PM,Monday,2024/07/07 2:20 AM,2024/07/06 11:20 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,35 - 40K,Academics,,44,8,1,2024/05/06 4:53 AM,,jonathanw@maybeckhs.org,,,
Mayfield Senior School of the Holy Child Jesus,2024/05/06 11:31 PM,Monday,2024/06/29 12:55 AM,2024/06/28 9:55 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,CA,West,30 - 35K,Dean of Students,,32,8,1,2024/05/06 4:53 AM,,abigail.shaw@mayfieldsenior.org,,,
McDonogh School,2024/04/22 11:44 PM,Monday,2024/06/09 1:48 AM,2024/06/30 1:22 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,35 - 40K,Director of School Counseling,,"20, Boarding 49K",7,2,2024/04/20 6:38 AM,,mgreen@mcdonogh.org,,,
McGillis School,2024/04/29 11:02 PM,Monday,,2024/07/06 11:20 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,UT,West,15 - 20K,Learning Support Specialist,,16,9,0,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
McKinney Christian Academy,2024/03/29 11:12 PM,Friday,,2024/06/29 12:58 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,10 - 15K,Licensed Professional Counselor,,,9,0,2024/03/29 6:09 AM,,precious@efcoachtutors.com,,,Sent
Melbourne Central Catholic High School,2024/02/19 11:26 PM,Monday,2024/05/13 9:37 PM,2024/07/06 11:26 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,FL,South,15 - 20K,"Vice Principal, Academic Support, Associate Dean of Students",,49,12,1,2024/02/15 1:55 PM,,precious@efcoachtutors.com,,,Sent
Memorial Lutheran School,2024/04/08 11:33 PM,Monday,,2024/07/05 10:18 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,10 - 15K,Assistant EC Director & Student Services,,15,10,0,2024/04/06 7:16 AM,,precious@efcoachtutors.com,,,
Mercy High School,2023/11/02 1:05 AM,Thursday,,2024/07/03 8:26 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NE,Midwest,10 - 15K,School Counselor,,,15,0,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,Sent
"Mercy High School, Baltimore",2024/04/22 11:04 PM,Monday,,2024/06/30 1:25 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MD,South,15 - 20K,Dean of Students,,,10,0,2024/04/20 6:38 AM,,precious@efcoachtutors.com,,,
Merryhill Preschool & Elementary School,2024/03/29 11:14 PM,Friday,2024/04/05 1:24 AM,2024/06/29 12:56 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,10 - 15K,Head of School,,,9,2,2024/03/29 6:09 AM,,precious@efcoachtutors.com,,,Sent
Mesivta Ateres Yaakov,2024/03/08 11:40 PM,Friday,,2024/07/04 9:19 AM,Received Summer Drip,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NY,Northeast,15 - 20K,College Guidance,,,10,0,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
Milwaukee Montessori School,2024/02/16 11:36 PM,Friday,,2024/07/03 8:23 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,WI,Midwest,10 - 15K,Head os School,,22,7,0,2024/02/15 1:55 PM,,precious@efcoachtutors.com,,,Sent
Minnesota Waldorf School,2024/04/29 11:08 PM,Monday,2024/05/24 11:38 PM,2024/07/06 11:26 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MN,Midwest,15 - 20K,Student Services Coordinator,,40,9,1,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Mission College Preparatory Catholic High School,2024/05/06 11:40 PM,Monday,2024/06/29 12:49 AM,2024/07/06 11:28 AM,Received Summer Drip,,"New Contacts, Sent Mail Merges",No response yet,CA,West,15 - 20K,Director of Curriculum & Counseling,,49,11,1,2024/05/06 4:53 AM,,precious@efcoachtutors.com,,,
Missouri Military Academy,2023/11/14 11:42 PM,Tuesday,,2024/07/03 8:21 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,MO,Midwest,35 - 40K,"Instructor, Learning Specialist",,,14,0,2023/11/13 11:00 PM,,precious@efcoachtutors.com,,,Sent
Mizzentop Day School,2024/03/08 11:50 PM,Friday,,2024/07/06 11:31 AM,Received Summer Drip,,"New Contacts, Sent Mail Merges",No response yet,NY,Northeast,20 - 25K,Student Support Services Coordinator,,,10,0,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
Monsignor Kelly Catholic,2024/01/30 11:46 PM,Tuesday,,2024/07/03 8:22 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,TX,South,10 - 15K,Principal,,,7,0,2024/01/26 10:14 AM,,precious@efcoachtutors.com,,,Sent
Montclair Cooperative School,2024/04/22 11:12 PM,Monday,,2024/06/30 1:16 PM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NJ,Northeast,20 - 25K,Head of School,,,10,0,2024/04/20 6:38 AM,,precious@efcoachtutors.com,,,
Montclair Kimberley Academy,2024/01/29 11:37 PM,Monday,2024/07/03 11:19 PM,2024/07/03 8:19 AM,Received Summer Drip,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges",No response yet,NJ,Northeast,45 - 50K,Learning Specialist Academic Support,,,14,1,2024/01/26 3:16 PM,,dbaker@mka.org,,,Sent
